text_id_kaggle,full_text,prompt,Overall
D1A682106D3C,"It has been said that a positive attitude is the key to success in life. Although some people think that a positive attitude will not help a lot help a lot to be successful, actually that is not true. A positive attitude is the key to success because, we can always be out of stress and bad thoughts, we can always have a high confidence about ourselves and for something good to happen, and we can always have a good and friendly personality wich makes others to feel good about helping us and we can use their experiences in our lives.

Here are some reasons that explain why a positive attitude is the key to success. the first reason, is we can always be out of stressand bad thoughts. For example, when we are in the bad situation and we don't know what to do, if we have a negative attitude you will be filled with bad thoughts and anxiety, we can't think properly and find the right solution. The second reason, is we can always have a high confidence about ourselves and for something good to happen. For example, if you are studying for our test, and if you have a high confidence and you are certain that you will pass the test, you will absolutely pass it. And last but not least the third reason, is we can always have a good and friendly peronality which helps others to feel good about helping us. For example, if we have a problem and we don't know how we can choose the right way to slove our problem, when we have a good and friendly peronality it'll makes other people to feel good about helping us, and we can use our experiences in our lives.

We have been talking about the benefits of having a positive attitude and how is helpful for us to slove our problems and have a healthy mind. These reasons such as, first, we are always out of stress and bad thoughts, which makes it difficult to think in the right way. Second, we are always have a high confidnce about ourselves and for something good to happen, which this gives us strength and make it easier for us to solve our problems. And third, we are able to have good and friendly peronality, which makes other people to feel good about helping us, so we can use their experiences, are little details that effects a lot in our lives. Therefore let's put all negative things aside and encourage everyone to have a positive attitude.                   ",Positive attitudes,4
B821E1D68BE7,"our big break. Summer is a season with very hot weather schools take this whole season to give students a big break summer is almost 2 months of break .Although some educators feel that the summer break is too long and schools should be year round schools. Which mean schools have one month of summer and a longer winter break. Nevertheless I think schools should not be year round schools because summer have a very hard weather also students use this time to plan some trip with family and friends.

Summer has a very hard weather to even think go to schools. Some day the temperature goes to 96c or more this is to hot for students. This hot temperature will make students swearing a lot and have very hard head hurt during class time level of streets will increase make students get bad grades or be angry all this time. Students who work in hot areas will feel more difficult to do a simple thing than students who work in a warm area . Hot areas make you not focus in your work.

In summer students have 2 months to enjoy make some family trip or things like that .Some students and families take this time to make some big family vacation plan. students wait for this time of the year to do their vacations. Because summer is a perfect time to go to the beach with family and friends or go outside the country to visit other country as we do not have school in summer we do not miss any day of school . trip can take so much time and students think summer is a perfect time to do. In summer students have enough time do anything students want some students use this time to find a job during summer as students do not have school they are more focus making money,so summer is very important to us to have some time with our family or make money.

In conclusion summer is a hard time to go to school but a good time to make some trip or money so the government should not cut off our summer. this is our time this is our big break. this when students can relax for a very long period without any preoccupation about schools work summer just happen one time each year students have to enjoy students deserve it for all hard work than students did in the whole school year. ",Year-round school,3
6A00BED6B62D,"Do you think it is a good idea for students to start their career such a young age and stress about it? I will tell you guys why it is not a good idea. Reason number one students can feel a lot of pressure on them. Reason number two students still do not know what them want to be yet.

Students can get a lot of pressure because students have not found out what they want to do in life. Students can get over welled so easily. Students think about it to much what they want to be when they grow up. Especially freshman they just stated school they do not need any stress when it comes to think about their career. Freshman do not what they want to be yet. They are just new kids that have just stared high school and they do not need to think about it yet. Students already have enough stress and, they do not need anymore of that. Students already have stress from school, sports, home problems, and the list can go on.

Students still do not know what them want to be yet. It is hard to find something want you like to do in life as your career such as a young age. Students may thing they have found the one that they really want to do in life but, they change their mind and, they what want to go for the other career. Therefor, students need more time to think about what they want to do in life. It takes time to think about what students what to be to grow up. There is a lot of things to do for your career so students just have not found the right one yet. They need time to make sure what they really want to do in life and they feel it is the right one.

Some might says it is a good idea for students to commit a career such a young because it will benefit them in life. Here it is were I am go to prove them wrong. Students get stress so easily and they do not need any more of that. Students do not need to feel pressured and it is okay to say that they do not know what that want to be when they grow up. It is not okay to rush students as they enter high school. Students can make their own mind when the thing it is the right time and, also they think they really think what they want to be when they grow up just give them time. To my congestion it is not a good idea for students to commit to a career as they enter high school because they need time to think about it well.",Career commitment,3
00B21F9B726F,"Do you think its a good idea for students to commit to a career at a young age? In some societies, students are expected to identity a career by the time they enter high school. Yes it is a good idea to start young because your already step ahead, you will have background knowledge about the career classes you choose and once you get older you won't have time to choose an career. Also taking courses in high school will help you choose your career like for an example academy classes.

As a students taking a career course, will help them learn more about that career and you will have background knowledge about that career. for an example I'm taking auto technology in highschol becuase I want to learn more about cars and how to fix them. after high school I will be going to a community college so I can learn an advance auto technology class and move on and thats I'm going to succeed in life.

Another reason why its a good idea for students to commit to a career at young age is becuase it will help students choose a good career that pays good money and the students will be a one step ahead. by doing this they will accomplish their goals.

others may say that its not a good idea for students to commit a career at a young age becuase they think its waste of time however, its not waste of their time, becuase once your getting older you wont have time to choose an career that will last.

In conclusion, I think its a good a idea for students to commit to a career at a young age becuase you will have some background knowledge to that specific career, you will be one step ahead, and once you get older you won't have time to choose a career.                                                                                                                                                      ",Career commitment,3
CCEFC4392340,"Most students enjoy summer vacation, but some educators think that summer break is too long and students do not retain information as easily as they would in the fall. Because of this a lot of educators think we should have year- round school years. This would be shorter breaks in the summer (3-4 weeks) and longer more spread-out breaks throughout the year. I disagree with this statement and believe that summer break should stay the way it is.

The first reason I disagree with this statement is that it would ruin certain summer activities or even business plans. Think about all the activities in the summer that kids usually take part in, this could be sports, some sort of trip, etc. All of these activities students would preferably do during summer break. They have this preference because they see the summer as a perfect time to do all these activities without having to balance their education as well. They can put most of their time on this activity. The same preference applies to things like summer jobs or internships. During the summer they can learn important values like how to save and earn money. Or if a certain student has a chosen career path they can explore this career path by going in a internship for that spesicifc job. For all of these activities students at the very least would be discouraged to participate in if there was a year-round school year.

The second and probably most important reason is pertaining to the students mental health. An article, by Complex News writing about kids mental health stated, that over 40% of kids by the end of their freshmen year in high school are depressed or overall feel exhausted and depleted mentally. The article continues to say that this number from the time of their freshmen year only increases after each school year. Students use the summer break as a way for their brain to refresh from the long almost ten month school year. Students need this time to relax their brain and get ready for the next year of education. As a student, I can say that during school my brain goes into this state where I am mostly just focused on school work. And I can admit that my brain at multiple points during the year is worn down and damaged by always be in this state. My brain does not get a chance to heal from this until the summer, when school is over. So if we were to hypothetically have a year-round school year, this would mean that the brain would also be in this damaged state year round. If this were the case than the brain of the student would eventually just break and shut down. No student should have to experience that because of a year- round school year.

Although the strongest reason for this year-round school year is that students cannot properly retain enough information for the next school year, I think I have a much stronger counter claim and solution to this problem. A very simple way to take care of the problem of retaining information, is to make mandatory (but simple) assignments from the previous year for the student to complete so that they don't forget this information. This way students can have their long summer break to refresh their brain and do their activities, without them having to forget any information. You get the best of both worlds with no need for a year-round school year.

In conclusion I think my assertions for the summer break to stay the way it is is much stronger than year-round school year argument. Having a year-round school year would be unnecessarily tedious and dangerous as it would negatively affect summer activities and mental health. As someone said once upon a time ""Don't fix it if it ain't broke.""",Year-round school,5
FF9469424ED0,"All schools have different educational activities, including playing an instrument. There are so many things you can do when you play an instrument. Everyone has seen marching bands doing all types of exciting things in the middle of a football game. Have you not seen the routines they make, those take hard work! Orchestras play classical music and make their sound flow in the room. Not only do they play classical music, but they also play loud and exciting music. Everything you can do while playing an instrument is enjoyable. Some things are more enjoyable than others like being able to listen to yourself making good music, going on fun field trips, and being able to find all different types of music.

While playing an instrument you play all different types of music, and all of the pieces of music are good. When you hear yourself play a song well you get a boost of confidence. Hearing your class play well makes you confident that your concert will sound great. It feels good to know that you're capable of playing music that others who aren't able to do. You get to enjoy the amazing sound your class makes. Whenever you play an instrument you normally audition for the class you want to get into and when you get into it, you are full of joy. It's always nice to know that you can achieve the level that you want to achieve. The opportunities you get while playing an instrument are endless.

When being in band or orchestra you get the opportunity to go on field trips. Schools don't normally go on field trips unless the students are in band or orchestra. They offer the field trips to people who play an instrument because of all their hard work they put into it. All the field trips you go on are enjoyable because of the people in your class. You always make friends whenever you join band or orchestra. Some schools know that the students want more fun, so they include more field trips than others. Every field trip is a gift to the students who play their instruments from the school. Some places that schools go to are Kings Dominion, Busch Gardens, Hershey Park, and many more exciting places. Those all have roller coasters, water activities, and carnival games, who wouldn't want to go there.

Every movie or show has a soundtrack which the classes can play. You can always search up the sheet music to any song you want to play. You can also make your own sheet music and play that yourself. You can play every song on an instrument. People enjoy playing the music they've wanted to play since they first started playing an instrument. There are movies that people love and the people who can play an instrument are able to play that movies theme song. Not a single song cannot be put in sheet music so, if anyone ever wanted to play their favorite song they could search it up and it would pop up. Even though some songs are harder to make sheet music for they're still possible to do.

When playing an instrument, practice does make perfect. Nothing about playing an instrument is easy, but everything about it is fun. The effort put into playing your instrument does pay off at the end. Playing well can make you so happy and proud of yourself. Not only are you proud of yourself, but others are proud of you. Being able to play an instrument is a privilege that not everybody gets. There is nothing that can stop someone from becoming a part of the music community. The friends you can make and go with to the exciting field trips. Play all the music you've ever wanted to play. Everything you can do in band is limitless. ",Enjoyable educational activities,4
D3A5813D8C06,"Most employers are looking for expecific characteristics in a potential employee. I writing this card for you Mr, Generic_Name

I totally agree with you are excellent boss ,however, in you store for the present, and future you need good employees. I dont have excellent experience for this work, but Im wonderful cadidate for developing, I learning stremately really fast, and have the skills for this wonderful work. For take this position I always remember there are three most importantly reason there are time, habits and good attitude for customers, and how to socialize with everybody. Im honest person and never give up when I have clear odjectives, and I demostrated you Dear Mr Generic_Name my abilities.

The firstly reason is the time and dinamic is very beneficial for our mind and our spirit. Every single day need to respect our horario for developing our personal work for perceverance we have all the posibilities on our life to build our own character. We need keep moving forward the coriosity keeps leading us new paths and more oportunities in work, and personal lives.

The secondly reason is habits I think everybody have different actions how organize, and develop more suphisticated method of work this is important, for example, when customers go to the restaurant on weekend the tables, and flour everything need to stay crystal clear. The character we learning in home we need to put in practice in our work. Aiming high expectetions and setting big characters to succeed the consistency and perseverance.

The thirdly reason is attitude for developing our work need to stay with people with excellent energy for charger our mind, and everybody demostrated the costumers we are the store with stremaly potential, and very respectful, and kind workers. We have the controlling of store and wonderful attention,and broadly with easy work and constant positivity will make them too soft to compete in the work with struggle attitude have the custumers. In will demostrated our method how interact and socialize with people.

Dear, Mr Generic_Name, I writing this letter for you take cosiderancy. Im good worker and have the skills for this store I promisse you put in practice my specific reason, for example, time, habits and attitude all this things considered it seems reasonable to implement in the work. The are important how to communicate and demostrate responsible in my work and developing, and please take consider my personal opinion thank you.  ",Controlling extracurricular involvement,2
83FBBD0447F2,"Have you ever feel something different after receive support or help like a special feeling well that feeling is a act of kindness it feels great and wonder and unique. Acts of kindness big or small can have a major impact to our lives. Some explamples of acts of knidness are sharing, helping or supporting. Acts of kindness can help others who are in need of support, trying to solve problems and more.

What is act of kindness, Act of kindness is a form of kindness but in any size big or small with a effect that could change people. Showing a little bit of kinds to those who are in need of support can have a major effect. Act of kindness can change those who are need of support and can effect them for the greater good.

How does acts of kindness help others. If you do any acts of kindness it can have a major impact like Changes people lives, in a good mood or a positive way of thinking of things . It can also effect decision making and giving kindness can have positives effects on you.

Why do we need acts of kindness in our lives, Acts of kindness can have long lasting impacts to many lives it changes how people feel or think and you even feel better if you show or receive a act of kindness from someone act of kindness a chain reaction it's a never ending chain it will effect everyone in one point in their lifes

Biggest to the smallest of kindness can change many different people lifes in a good a positive way and it could help those who are in need of support with their problems Because act of kindness impacts all of us.",Lunch menus,3
CA3EB3AA11FC,"yes, I am agree with that ..

Because it's true the can show the the act of our felling in this three words ..

1.. be anxious

2.. Felling 3.. not to Belief the are self

...

1.. Be anxious .

in the world 99% of population the have a lot of staff going on in the are idea or concept , to how to do the are work , how to do the are staff , and how to do the are poraplem self .

,, and the have lot of pressures on the thought

. an effect feeling or image retained after an experience . A mark produced on a surface by pressurre and the can show the felling thaey have . the did not seeying the are felling cuz the are sedition the are fell and the don't want to tell anyone and the are worry about it .

that why the can not change they are are life .

2. Felling. .

All the copies of the a pubilcition printed at one time from the same set of type.

some people did not showing the are felling . the are state of being withe the are self and the can exp lean what the have wane what the have need to do in the live the are confuse for anything and the are scyer for that to tell anyone.

same time the are thinks if the do sorting wrong it,s never gonna right and never gonna right.

3 . Not to Belief the are self.

sometime the not blivet or respect the are self and the are urgent to someone else to do the are work and the can impressions the are felling. some time the sending a person to do somting for it .

like they are sending the a person to giving for something the are need it cuz the shameful to to something by the are self . and the are can not doing the staff the .

In the life everything in impossible we can do anything in live we can do the best we can go the way we want to go. over time everything is going to change the live , the friends, the staff , the feeling . the every secant . don't be shay for samthin you really when it or need it you can not Chang you can not be the beast you never be porfect in the live . be porfect in live if you not make your miss tikesa you can not be perfect in the feucher . if you take the right way you you be the best in the all live thake the good posittion and do good live witout the any impressions fell ......  ",First impressions,1
58A9AE90D009,"What I think about extending two more hours in school would be a bad idea because school can be very stressful and give you so much work that can cause people headaches and won't even have time to do their homework at home and they would get really tired and sleepy that looks like their brain will explode with so much work they do and they would have health problems too a person would not resist too much of their body either.

My opinion about it is that they should keep the five-day school week instead of four because I think it's really unnecessary to add more hours to school and take one more day of off. I think if that happens they will take the time from other students time with what they are doing outside of school and activities. The idea would be very pointless and useless. I think five days of school is better than four because five days they have seven hours of school and it's shorter. For me I would get really stressed with more hours of school be more hours means more work to do and I would get really tired of doing so much work and I would get really exhausted. People would have many things in their head and worry too much about it that would cause so many stress and a headache and it would not be good for them.

I think there is some other way to conserve energy and resources than adding hours to school and work. For example they should take care of the earth by recycling and cleaning the water and save up energy. I think it is the best idea to conserve energy and resources because it really important to take care of the earth and learn how to take care of the earth. Many people these days are careless and would prefer to do it in another way like adding more hours to school which is not helpful and that won't do nothing of helping energy and resources, so we have to do another way to conserve it. What I think people should use their brains and do what's best for the whole world and every around us and be helpful. Like for example restore energy would be a good idea or volunteer would be another thing to help the planet, there are so many ways you can do it and how you can do it so it would be really helpful if Everyone would join doing it.

Many people would be disappointed for adding hours because they are subtracting their time and very important things they have to do. A lot of people that over work themselves means their they would get really tired and lazy and the community would be very disappointing and out of control. Another problem would be that if they overwork and get tired and them while driving and could get into to a car accident and that's another why their are so many accidents happening lately and that is really bad so it is a bad idea.

Know one would agree to work more hours and that would cause them to have health problems and their body does not take to much exhaustion in them and that is really dangerous and would risk their life's for it, i would not over work myself if I were them that is too much to Handel and would get me sick too that my body would not take it either so no it would be a really bad idea.",Four-day work week,4
31EEF9A4A29B,"Some schools offer distance learning as an option for students to attend classes from home by way of online or video conferencing. I think that students will benefit more from distance learning than from going to school. Not everyone agrees that going school is for them. Distance learning is gives a better chance to learn all your education.

Here are a couple reasons why I support the idea of distance learning.

First, reason why I think that distance learning is more beneficial to you is because you can manage your time better with class work and classes. You have the opportunity to work on your own schedule. Separate the classes throughout the day instead of all bunched up at once. More time for you to focus on either classes you kind of struggle with or classes most important. All work does not have to have a due date or time limit. You can take your time to understand the material at hand and do all your work when capable.

Secondly, the more comfortable the environment the better you work. Schools environment isn't so good for students, sometimes we sit in classes where its hard to learn. Hard to learn because a lot of kids do not take there work serious, stay off task, and distract others from learning. That harms the learning environment makes kids get a little frustrated at times with there work. Its not easy to do your work while not being able to concentrate correctly and being distracted. When you are in a comfortable environment, work is not so complicated. You can relax, think straight, and focus on the task at hand with no problems. Being able to attend class from home keeps you away from the bad environment.

Last but not least, the safety of the students is always important. While in school kids can be harmed in different type of ways. Some get bullied others get into altercations. This is hard to stay away from because you are in school and it surrounds you. This can definitely throw off a student and get them off track. When kids start to think about many other problems instead of there school work it is not good. Attending your classes at home, online, or through video conference is the safest way to attend. You wouldnt have to worry about the school drama or the bullies. Your mind will be strictly focused on the work you have to do and nothing less.

In conclusion, the idea of students attending classes from home, video conference, or online. Is most beneficial because of there safety, work environment, and schedule. I agree with my reasoning and support them to the max because distance learning is the best way to learn. Your student should give distance learning a chance its worth it. ",Distance learning,4
D9E77CD4506B,"Name: Generic_Name

Date:

03/15/19

The benefits to working in group or working along.

The benefits to working in group are the we can't share information with other's to help amswer the problems the we working in and if i working alone i has to put my on ideas. My tree reasons to working in group are we will working all together, we get more support of the other people that are in my group and my last reason are the i will feel more relax and the tree reason that a think if i will working alone are the i has to support my ideas by my self, and if i get confuse nobaby can't help me, and my last reason are the i will feel more frustrartion to finish the work or if the idea the i put are not good. The benefit that i think can't help the student more are to work in group because we can't support other.

My first reason about working in group are the we work together and can't be more easy to finish the work in time to learn how work in group we will share some information to my group and all people that are in my group has to share some imformation i will feel more motivation to other's.

My second reason that i put the we can get more support because if we work in group we can't help each other's we lear to work in group that why a like more to working in group because some time if someone no know the answer we can't help hi or her to answer the question.

my last reason that i put in my essay are the we feel more relax because we can't not get frustrartion because the other's people that are in my group can't help us if sometime we can't get confuse to some preoblems they can't give us support to answer the problems .

That are my tree easons that why i likes to working in group that why i don't likes to work alone because some time can be more frustrartion to us and sometime we can't get more homewoork we can't give and get support because we work in to a group i think that is more easy to work in group because we can't support that ideas and we check if that ideas is good and not and coul be lest work to the other's because we can't share like one person do something and the other's person another thing about work that can't work .              ",Working with a group or alone,2
272CA21BAE13,"Some parents think that is normal for students to choose a career a young age, but other people think that is most better for students to choose a career when they feel get ready for to take this responsibility. Why is importan taht students to choose a career to young age? Although some say it is good idea for students to commit to a career to young age because the students can to learn more, actualiy it is a bad idea for students to commit to a career to young age because the students don't have time for explore new things and they don't have time for fun in the high school.

Some person belive that is is a good idea for students to commit a career to young age. One reason is because the students can to learn more in a specifit environment.

For example, the students who choice a career by time they enter high school. They have a idea about the class they want to take. For this reason, when they finish high school they are more prepared. A 35% the students choose a career to youn age because they think it is help for your future.

However, it is bad idea for students to commit a career to young age because they don't have the opportunity to explore new things. For example, in the high school the students have the opportunity to choose 2 or 3 elective class. this clas to help the student to find or explore a new hobby,and some time this class to help to discover what do yuo like or what do you want in the future. In my opinion, I think that this class are good for the students who not have a idea what they want to study in the future. For example, I want to learn to play guitar and I take the music class, but I discover I am so bad in this type of class. My second year I take a math class and I discover taht I love math and I think that I want to continue to learn about this class.

The other reason is it is bad idea for students to commit a career to young age because the student don't have time for fun. One reason is that students is only focus his study and they don't pay atention her and his friends. they are worry because they have -B in your class or they don't make the homework. In my pinion, It is good that they are worry for your grade, but they need time to fun because tha teacher and old people think taht is good that students take a breack (rest landing) some times. In my experince, I heva alot of memory with my friends for this reason I recommend all students pay atention your frinds and create a lot of memory like me. But no forget the school and the most importan your family.

In conclution, it is bad idea for students to commit a career to young age because they need to consider what they want to study in the future. In my experience, is most better to take time to fun with frinds, your family and take time think about what do you do in your future.",Career commitment,3
EF455BB07922,"The grow is the stage of the life on the grow-up it is.

The life is on the present for on self, the firs stage of the life is, you live born be, grow up, desedence, up old and stage of life. Writing easy but, is so long the years like has registered will people live centenary

I was to agree

By the word raw and direct is more eficas because way take the life like game and way take the responsibilities, like made you personal money no the money will you dad give, for you work for the future you no how is the life.

Example is me, by when was like little boy i understand how doing on the life when have 8 old year i made may bred fast and clean when i am eat shower my uniform of my school, to 15 year working little but i can paid something and i star the the actuality i no how is the life and what need doing for the future have my vision my dream for have so cool future for me and for some was with me.

When you no can doing something you calidad of life is so more short, but

Finalized, you need the comprendetion the life, what is you vision for the function , what is you dream , for you an you family, star made you personal plane thin complete you tin and no depend of nothing i am free ",Trying something beyond what you have mastered,2
ADFE2CDB6FF1,"Yes i think students would benefit from being able to attend classes from home in the way that they can be more ready to start the class, and they will focus.

-The reason why i though that is because sometimes at school the students they have shame to show to other the best of them, "" the intelligent student told me that i can't do anything or i can't speak very well English"" still if we want make our goals we can do it. Without go to the school.

-For example:

If a student is on his house alone with no one told him what or how he need to do the correct things, but he has a lot of question about what he is doing in his online class. He will try to find the way to solve the problem by himself.

Also if i was in my home find new imformation and i work to much during the day then i would be hungry then i can go to the kitchen for cook something very fast and go back to my room continue with my homework. And if i have a question i will ask for help to some teacher by texting.

Eventually, attend classes at home with no pressure could made different and confortable for the students who are shy or maybe need a teacher only for one student for explain the class that the student is taking. Below for those students that don't like to wake up too early in the morningt they have the choose to study more later since at night without necesary be ready for school. Many cases when girls are pregnant they can still going at school, but it was diffult for them had to continue study and also after that they giving birth too. i know that because a friend told me and another girls too, she told us the process that she has to pass during her pregnancy and after when she has her baby with her I don't know how hard it is, but i can imagine in this position. So what my friend do? during her pregnancy she still coming to the school i saw her many time she was so tired with her belly and then when she has her baby yet she take in her house the next classes i was surprise about it either i do not how unconfortable it was for her that a teacher was with her when the baby start cry or when the baby need to eat, later she was done she back to the school but she didn't feel ok for leave her baby at home. This story make me think about it if i have the election to choose how i can study i prefer study and take the classes in my house better that school.

I think the students would benefit from being able to attend classes from home that's great idea. but there are many problems; what happen if the student do not have money to pay the online classes? either their families do not have the recourses for help them another reason that's why we have to work and make money for us and we missing many days in the school for stay at home because we want sleep more hours or we coming to the school and we are no pay attention what the teacher is talk about the class, So i think this if a student want money need to work and continue study online maybe in that way is more easy pass the class and the SOL. Attend classes from home by way online help this type of case the students go to work few hours and then coming home for the rest of the day to study or another option is one day work and the next day don't and stay at home taking the online classes, in summary ""NEVER GIVE UP"" when we want something that we can't get it in nowhere only in our effort we can make that possible. Also with some help ask when we do not understand something and put the best of us all including: try to solve the problems, research good imformation, and the most importat thing that we have to do is study. sometimes the other people make feel us so bad or without no reason to be in this world, go ahead and desmostrate to that person who do not believe in you that you can do it.

During school year is possible learning for online or video conferencing,in the videos explain clearly what or how to solve math ejercise or another kind of materials. Examples of benefit to attend classes at home are:

- Spend more time in the computer

- More focus in the homework

- Use the iphone for imformation whenever we want

- Study all the day

- No talk with your friends during your class

- Finish more fast with no distraction

All that things are benfit if the students being to attend classes in their home in the winter they don't have to worry about how cold is outside in the morning or what clothes is appropriate for school, and have to coming in the school in a good mood for study and see somebody that we do not want to see and prevent be involve in problems with another student. Could fine stay at home by self in own class than go to the school. Many student suffer of depreciation and that is so bad for them. If they school giving to them the opportunities to take the classes online it is more better for their healthy, this is my opinion about attend classes on the home.                ",Distance learning,3
04659704890C,"Having a good attitude is important if we want sucess. If you don't have good attitude in what we're doing then we can never get the things that we have to do done for for instance if I didn't have a good attitude everytime things got hard I wouldn't have done the things I did. Take for example If I would've had a bad attitude everytime something went wrong in my life I wouldn't be as happy as I am now because we all go through difficult times but how we choose to handlle it is way different.

Take famous people for example if they would've given up everytime people said horrible things to them they wouldn't Have as much money as the do now or famous as they are now. People who don't have good attitudes don't want other people to have success because they wish they had a good enough attitude to do what others are doing. If we decide to have a good attitude we can get more things done and accomplish way more then anyone else.

It's also nice to help other people with they're attitudes. By helping other people we can have way more success it's just simple if we want to accomplish more then we can help people with they're attitudes and help them get way more things done. Another example I have a friend and she didn't have a good attitude about her grades but she didn't want to work hard to improe them so I told her if she wanted to get her gades up she had to have a good attitude about them and she did the she started working harder and she improved so much.

Having a good attitude in life can help us out so much when we want to sucessced. It is important to have a positive outlook on life and not focus on the negative things. If we focus on the negative things to much we may forget to look at all the positive things in life. It's better to spend our time enjoying life instead of worrying about our problems alot. After all we only live once and if we spend our whole life being negative then we won't be happy in life. Being negative in life isn't how we want to spead out life if we focus on all the bad things in our life we will not sucessced at all.              ",Benefits of a good attitude,3
FD22ECF287BD,"Technology allows people to complete many tasks without having contact with others. Many people can check out books, shop, and play games without speaking to another person. Some people believe that technology has a bad effect on people; however, technology can be very educational to students, people can save a lot of time while shopping, and it can help people stay healthy.

Technology can be educational for students and teachers. For example teachers can tell students to download apps that are used for education and students can learn on there. Many people think technology isn't educational, but it is because students uses online resource to lean new things. Other example why technology can be educational, students can learn new languages and that can help them in the future. Next example students will be able to use technology, to help them do a project and they can search up educated websites that would help them on their projects. Therefore technology doesn't have a bad effect on people because it could be used to help students for educational use purpose.

Technology can help people be healthy any many ways. For example i use apps to make healthy food and healthy drinks. Next example people can search up the type of food they are eating, and look at how much calories they are consuming. final example people can download apps that can help them exercise, keeping their body in good shape, and consuming food that is good for their body. Many people think technology doesn't help us stay healthy, but it does because we can search up food that are good for our body and exercise that are good to. Therefore technology is very helpful to keep us healthy in many ways.

Many people use technology to save a lot of time in their life. For example many people order their food online, so they won't have to wait in a long to order their food. Next example people shop online to save a lot of time, some people don't want to leave their house to shop so they order things online to save time. Last example technology can schedule meeting, some people don't have time to go to meetings at that time so they can reschedule their meeting time. Some people may technology doesn't help us save time, but it does because we are able to schedule things online and order food to save time.

Many people believe technology have bad effects on us, however; technology is a educational tool, can help people to stay healthy, and can save a lot of people to save time. By people saying technology is a bad effect for people we can use technology for good use.  ",Impact of technology,4
6B850987631D,"If schools offers students distance learning as an option, that student should take the offer. That's my opinion if a school ever offer me online school. If I would have chosen this offer, I would have 3 reason why I agree that offer. Student should always think first if a school offers you something.

My first reason is, student can take their time in the morning to wake up and take a shower. For example, if a student wakes up late to school, that student wouldn't have time to do stuff he/she planned in the morning. But online school, that student can wake up late and take their time what he/she planned in the morning. My second reason is that its less cheaper. In online school, students only need: a computer, notebook, and something to write with. Students also receive free food from their home. But in regular school, some student pay money to get food, and the supplies for each class can be expensive. My last reason is student sometime finish their online school early, and have the rest of the day to play games, or hang out with friends.

In conclusion, student should always pick the right decision, when it comes to a offer in school. I think online school is good for students. Why, because if a student that is having family problems, and missing school every day. They can take online school, so they don't fail a grade, or miss any important assignment.",Distance learning,3
A570CD64F0F9,"A single persons actions can change how other people act. Albert Schweitzer, a philosopher said, ""Example is not the main thing in influencing others; it is the only thing"". I agree with his statement and believe it as true, as most people look up to and copy whoever is currently popular on social media. People also like to follow the example of what they are taught, by parents or teachers. In this essay, i'll be talking about how setting an example for others is the best way to influence others into doing something.

First of all, Watching someone do something that interests you could influence you into doing the same. For example: if you like food and you watch someone cook, it could possibly persuade you into making your own food. Most of the time, people would not do something without being influenced or persuaded by someone else. Take Juuling for example, most kids would never do such a thing unless being persuaded or peer pressured by their friends.

Secondly, Teaching someone to do good by an example is also good, as it sets them down a good path, just as most parents do. A person cant do something they were never taught or ever learned, so they look to other people who can do things; and look up to them. Only by setting an example can others follow. Much like a pack of wolves, the leader sets an example and rest follow it.

It could be argued that a speech or something of the sort could also influence people, such as Martin Luther King Jr's ""I Have A Dream"" speech. In the past that might have been the best way to influence people, but in modern day society a majority of people are influenced by action and examples. Otherwise, why would kids be doing these ""Challenges"" that you hear on the news every other day?

In conclusion, Examples are the best and most effective way to influence others into doing things. By setting examples, people are influenced into doing all sorts of things. Whether they are good or bad is completely subjective and depends on what the person is influenced into doing.                                                                                                                                                                                                           ",Influencing behavior,5
