,revise
10,"**ESSAY SCORING GUIDELINES:**

Assign a holistic score of 1-5 based on the essay's overall proficiency level.

**Score 5 - Advanced Proficiency:**
Demonstrates exceptional control over language, organization, and topic development.

**Score 4 - High Proficiency:**
Shows strong command of language, organization, and topic development with minor errors.

**Score 3 - Moderate Proficiency:**
Displays developing control over language, organization, and topic development with noticeable errors.

**Score 2 - Limited Proficiency:**
Exhibits partial control over language, organization, and topic development with frequent errors.

**Score 1 - Minimal Proficiency:**
Lacks control over language, organization, and topic development, resulting in significant confusion.

Evaluate the essay across all criteria, considering cohesion, syntax, vocabulary, phraseology, grammar, and conventions."
11,"**EVALUATE THE ESSAY ACROSS ALL CRITERIA AND ASSIGN ONE HOLISTIC SCORE FROM 1-5**

**Score 5 - Advanced Proficiency:** Demonstrates exceptional mastery of essay writing skills, with a clear and cohesive thesis statement, well-developed supporting paragraphs, and effective use of transitions. Sentence structure is varied and complex, vocabulary is precise and nuanced, and grammar and conventions are error-free.

**Score 4 - High Proficiency:** Displays strong control over essay writing skills, with a clear thesis statement, well-organized supporting paragraphs, and effective use of transitions. Sentence structure is varied, vocabulary is accurate, and grammar and conventions are mostly error-free with minor exceptions.

**Score 3 - Moderate Proficiency:** Shows developing mastery of essay writing skills, with some cohesion and organization, but may lack clarity or effectiveness in thesis statement, supporting paragraphs, or transitions. Sentence structure is simple to moderately complex, vocabulary is adequate but lacks nuance, and grammar and conventions exhibit some errors.

**Score 2 - Limited Proficiency:** Exhibits partial control over essay writing skills, with a weak or unclear thesis statement, disorganized or underdeveloped supporting paragraphs, and ineffective use of transitions. Sentence structure is simple, vocabulary is limited, and grammar and conventions are frequently error-prone.

**Score 1 - Minimal Proficiency:** Displays little to no mastery of essay writing skills, with a lack of cohesion, unclear or absent thesis statement, and inadequate supporting paragraphs. Sentence structure is severely limited, vocabulary is very basic, and grammar and conventions are pervasively error-ridden.

Assign ONE score from 1-5 based on the overall quality of the essay, considering all criteria simultaneously."
12,"**Essay Scoring Guidelines**

Assign a single holistic score from 1 to 5 based on the overall quality of the essay.

**Score Descriptions:**

* **5 - Advanced Proficiency:** Demonstrates exceptional cohesion, syntax, vocabulary, phraseology, grammar, and conventions.
* **4 - High Proficiency:** Exhibits strong control over organization, sentence structure, word choice, idiomatic expressions, and grammatical accuracy with minimal errors.
* **3 - Moderate Proficiency:** Displays adequate cohesion, varied sentence structures, sufficient vocabulary, and some mastery of phraseology, but with noticeable errors in grammar and conventions.
* **2 - Limited Proficiency:** Characterized by poor organization, limited sentence structure, inadequate vocabulary, and frequent errors in phraseology, grammar, and conventions.
* **1 - Minimal Proficiency:** Lacks cohesion, exhibits pervasive syntax errors, and demonstrates minimal understanding of vocabulary, phraseology, grammar, and conventions.

**Evaluation Criteria:**

* Cohesion: Organization, transitions, and logical flow
* Syntax: Sentence structure variety and grammatical accuracy
* Vocabulary: Range, precision, and appropriateness of word choice
* Phraseology: Mastery of idiomatic expressions, collocations, and lexical bundles
* Grammar: Accuracy in grammar and usage
* Conventions: Control over spelling, capitalization, punctuation, and formatting

**Scoring Guidance:**

Read the essay carefully to evaluate its overall quality. Consider all criteria simultaneously to assign a single score from 1 to 5. Avoid scoring individual criteria separately or calculating a total score."
13,"**IMPROVED INSTRUCTION:**

Assign a holistic score from 1 to 5 based on the student's overall proficiency demonstrated across all criteria.

**Score 5 - Advanced Proficiency:** The response demonstrates exceptional cohesion, syntax, vocabulary, phraseology, grammar, and conventions, with rare minor errors.

**Score 4 - High Proficiency:** The response shows strong control over organization, sentence structure, vocabulary, phraseology, grammar, and conventions, with minimal errors that do not detract from the overall quality.

**Score 3 - Moderate Proficiency:** The response exhibits developing control over organization, sentence structure, vocabulary, phraseology, grammar, and conventions, with some noticeable errors that partially impede understanding.

**Score 2 - Limited Proficiency:** The response displays partial control over organization, sentence structure, vocabulary, phraseology, grammar, and conventions, with frequent errors that significantly hinder comprehension.

**Score 1 - Minimal Proficiency:** The response lacks cohesion, exhibits pervasive syntax errors, and demonstrates limited vocabulary, phraseology, grammar, and conventions, making it difficult to understand.

Evaluate the student's essay holistically, considering all criteria simultaneously, to determine their overall proficiency level."
14,"**ESSAY SCORING GUIDELINES**

Assign a single holistic score from 1 to 5 based on the essay's overall proficiency level.

**SCORE LEVELS:**

**Score 5 - Advanced Proficiency:** The essay demonstrates exceptional cohesion, syntax, vocabulary, phraseology, grammar, and conventions. Minor errors are rare and do not impede meaning.

**Score 4 - High Proficiency:** The essay showcases strong control of organizational structures, varied sentence patterns, precise vocabulary, effective phraseology, and minimal grammatical errors.

**Score 3 - Moderate Proficiency:** The essay exhibits developing organization, limited sentence variety, adequate vocabulary, some phraseological inaccuracies, and occasional grammatical errors.

**Score 2 - Limited Proficiency:** The essay displays weak organization, simplistic sentences, narrow vocabulary, repetitive phraseology, and frequent grammatical errors that impede meaning.

**Score 1 - Minimal Proficiency:** The essay lacks clear organization, features pervasive basic errors in sentence structure, and demonstrates a severely limited range of vocabulary, phraseology, and grammar, resulting in significant comprehension difficulties.

Evaluate the essay across all criteria to determine the overall proficiency level."
15,"**EVALUATION INSTRUCTION:**

Assign a single holistic score from 1 to 5 based on the essay's overall proficiency level across all criteria.

**CRITERIA:**

* Cohesion: Organization, logical flow, and effective transitions
* Syntax: Sentence structure variety, error control, and complexity management
* Vocabulary: Range, precision, and topic-related term usage
* Phraseology: Idiomatic expression, collocation, and lexical bundle accuracy
* Grammar: Error control in grammar and language usage
* Conventions: Spelling, capitalization, punctuation, and formatting accuracy

**SCORE LEVELS:**

* **5 - Advanced Proficiency:** Consistently demonstrates exceptional cohesion, syntax, vocabulary, phraseology, grammar, and conventions.
* **4 - High Proficiency:** Generally exhibits strong control over all criteria with minor flaws.
* **3 - Moderate Proficiency:** Displays partial control over some criteria, with noticeable errors or limitations in others.
* **2 - Limited Proficiency:** Shows significant weaknesses in multiple criteria, impeding overall coherence and clarity.
* **1 - Minimal Proficiency:** Fails to demonstrate basic competence in most criteria, resulting in a poorly organized and error-ridden essay.

**EVALUATION GUIDANCE:**

When evaluating the essay, consider the writer's ability to effectively integrate all criteria to produce a coherent, well-supported, and error-minimal text. Assign a single score that reflects the essay's overall quality, rather than calculating a sum of individual criterion scores."
16,"**Evaluate the essay holistically across all seven criteria and assign ONE score from 1-5:**

**Score 5 - Advanced Proficiency:** The essay demonstrates exceptional cohesion, syntax, vocabulary, phraseology, grammar, and conventions, with rare minor errors.

**Score 4 - High Proficiency:** The essay shows strong control of organization, sentence structure, vocabulary, phraseology, grammar, and conventions, with minimal errors that do not distract from the message.

**Score 3 - Moderate Proficiency:** The essay displays generally controlled organization, syntax, vocabulary, phraseology, grammar, and conventions, but with noticeable errors that occasionally distract from the message.

**Score 2 - Limited Proficiency:** The essay exhibits partial development of organization, sentence structure, vocabulary, phraseology, grammar, and conventions, with frequent errors that often obscure the message.

**Score 1 - Minimal Proficiency:** The essay lacks clear organization, syntax, vocabulary, phraseology, grammar, and conventions, with pervasive errors that severely impede understanding."
17,"**Essay Scoring Guidelines**

Assign a single holistic score from 1 to 5 based on the overall proficiency level demonstrated in the essay.

**Evaluate across all criteria:**

* Cohesion: Organization, transitions, and logical flow
* Syntax: Sentence structure variety and control
* Vocabulary: Range, precision, and topic-related terms
* Phraseology: Idiomatic expressions, collocations, and lexical bundles
* Grammar: Errors in grammar and usage
* Conventions: Spelling, capitalization, punctuation, and formatting

**Score Descriptors:**

* **5 - Advanced Proficiency:** Consistently demonstrates exceptional control, flexibility, and precision across all criteria.
* **4 - High Proficiency:** Generally demonstrates strong control, variety, and accuracy across all criteria with minor errors.
* **3 - Moderate Proficiency:** Displays partial control, limited range, and some inaccuracies across various criteria.
* **2 - Limited Proficiency:** Exhibits weak control, narrow range, and frequent errors across multiple criteria.
* **1 - Minimal Proficiency:** Lacks organization, variety, and accuracy, with pervasive errors across all criteria.

**Note:** The final score is a single holistic rating from 1 to 5, not a sum of individual criterion scores."
18,"**Holistic Essay Scoring Guideline:**

Assign a single score from 1 to 5 based on the overall quality of the essay.

**Score 5 - Advanced Proficiency:**
Demonstrates exceptional mastery, with a well-controlled organization, varied sentence structures, precise vocabulary, effective phraseology, and minimal grammatical errors.

**Score 4 - High Proficiency:**
Displays strong command, with generally well-controlled organization, sufficient vocabulary range, appropriate phraseology, and minimal grammatical errors.

**Score 3 - Moderate Proficiency:**
Shows developing mastery, with partially controlled organization, limited sentence structure variety, minimally adequate vocabulary, and some grammatical errors.

**Score 2 - Limited Proficiency:**
Exhibits partial command, with poorly developed organization, frequent sentence structure problems, narrow vocabulary range, and numerous grammatical errors.

**Score 1 - Minimal Proficiency:**
Demonstrates little mastery, with no clear organization, pervasive basic errors, limited vocabulary, and numerous grammatical errors.

Evaluate the essay holistically, considering all criteria simultaneously. Avoid assigning separate scores for individual criteria or calculating a total score from separate criterion ratings."
19,"**Evaluate the essay holistically across all seven criteria to determine the overall proficiency level and assign ONE score from 1-5.**

**Score 5 - Advanced Proficiency:**
The essay demonstrates exceptional cohesion, syntax, vocabulary, phraseology, grammar, and conventions.

**Score 4 - High Proficiency:**
The essay shows strong control over organization, sentence structures, vocabulary, phraseology, grammar, and conventions with minimal errors.

**Score 3 - Moderate Proficiency:**
The essay exhibits developing control over organization, sentence structures, vocabulary, phraseology, grammar, and conventions with some noticeable errors.

**Score 2 - Limited Proficiency:**
The essay displays partial control over organization, sentence structures, vocabulary, phraseology, grammar, and conventions with frequent errors.

**Score 1 - Minimal Proficiency:**
The essay lacks cohesion, exhibits pervasive syntax errors, limited vocabulary, inadequate phraseology, and numerous grammatical and conventional errors."
