essay_id,essay_set,essay,rater1_domain1,rater2_domain1,rater3_domain1,domain1_score,essay_length,question
6662,3,"Features of the setting such as the hot sun, no water, and “Gary and Wilber’s Fish Camp,” greatly affected the cyclist. Since the cyclist was traveling through the high desserts of California in June, the temperature was really high and the hot sun left “wide rings of dried sweat” on his shirt and made the cyclist realize that he could drop from a heatstroke. Also, the fact that the only water around felt “somewhere in the neighborhood of two-hundred degrees” and “had the flavor of battery acid” prevented the cyclist from drinking it and put him in a “dehydrated state.” @CAPS1, “Gary and Wilber’s Fish Camp” affected the cyclist by solving his problem of dehydration, since there was cold water availible for him upon arrival.",2,2,,2,125,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
7378,3,"The cyclist was exhausted as he was going up hill. The setting of story affects the cyclist alot. This is because in California it is really good to be cycling. The weather is warm and perfect for a town. It had one ramshackle shed, several rusty pumps and a coral that could not hold in the lamest mule greeted him.Besides that, after riding twenty miles ahead, there was a terrain changing. Flat road was replaced by short rolling hills. After he crested the first few of these, a large highway sign jumped out at him. The rough road was the time where he had to be really careful and not to exceed the speed limit.",2,1,,2,115,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
6299,3,"Whether the lack of water, the hills, the tumble weeds – all are things that affect the cyclist. The lack of water affects the cyclist because it is hot outside and he needs water. The hills also affect him because it is hard to peddle up hills. Finally is the tumbleweeds. The tumble weeds show a distinct desert look. When he sees tumble weeds he try’s to keep balance because he is partially dehydrated and doesn’t want to crash. The dehydration / lack of water affect the author because he is very thirsty and everyone needs water to survive. When you are lack of water and energy it makes your goal more hard to complete.  ",2,2,,2,115,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
6036,3,"I think the features of the setting that affected the cyclist were the terrain “Flat road was replaced by short rolling hills” this shows that he is a warm and trobled by the change of the terrain. He also fells alone “I toiled on at some point tumbleweed crossed my path” he also. Though he was in a ghost town. “Summer time” rattled around in the dry honeycombs of my detorating brain"" he felt that he was slowly dying. He also though he was losing it, the sun had a great impact on him because he wiped his face to make sure he was no seeing a mirage. But through it all he had hopes the author also wants us to have hope and keep on going even though things dont look good keep moving foward never look back and alway's be positive and take advanage of your surrounding. This is the message the author tries to give",2,2,,2,158,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
6704,3,"The features in the setting of the essay affect the author in one major way, dehydration. There are several features that causes the author to dehydrate. First off, he is riding throught a desert located in california. This means that there is bent from the sun constintly beating down on him. Also the change from “Flat read”, (Kurmaskie) to “short, rolling hills” (@CAPS1) also affected him, getting dehydrated. This change cased him to use more energy to climb up the hills which means he used more water because he got thrister faster. This is how the features in the setting affected the author of the essay “Rough Road Ahead: Do Not Exceed Posted Speed Limit.”",2,2,,2,115,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
6894,3,"In the essay “Rough Road Ahead: Do Not Exceed Posted Speed Limit,” the cyclist, on his way to Yosemite National Park, is forced to face the rough deserts of California. As is normal throughout all deserts, the sun is blazing hot, as is the sand. There is no water anywhere and dangerous, highly venomous creatures are abundant. The lack of water almost puts him into a heat stroke as he is determined to leave the desert, riding his bike all alone. A grope juice factory taunts him, mocks him, but he continues on, with a steady pace. The desert roads are rocky and bumpy and his lousy 12 mph speed is getting him practically nowhere. Until, finally, he reaches a modern area and drinks from the sink in the bathroom.",2,2,,2,130,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
6929,3,"The setting in the essay “Rough Road ahead; Do not Exceed the speed limit” affected the narrator in many ways. The first thing that affected his ride was the heat. at first he didnt really notice but then it began to slow him down. Then the ways of the roads began to affect his ride, the roads went from flat sheet to short, rolling hills.” The road change and the heat made him say “I could drop from heatstroke.” Then because of the old towns he went through he was unable to get water. The water pumps were so old and unused for so long that the water was of very poor quality.",2,2,,2,113,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
6150,3,"In the story, Do Not Exceed Posted Speed Limit, by Joe Kurmaskie, the cyclist faced many obstacles. For example, he had to get directions to Yosemite National Park, but the directions were from elder men, whose information was out of date. In addition, the cyclist had to decide which way to take when there was a fork in the road. He chose a path the old men said would have a town nearly eighteen miles down the road. Furthermore, the cyclist ran into flat roads that went to rolling hills, snakes blocking his path, and a dehydration state that could’ve killed him. In conclusion, this man overcame obstacles to get to Yosemite National Park.",2,2,,2,114,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
6015,3,"The features in the story great effect the cyclist. One feature of the setting that effects the cyclist is the heat. At first, the story says that the pine trees cooled the cyclist, but eventually the forest turned into a desert, and the heat poured down on him, make it hard to cycle. Another feature that effected the cyclist was the lack of water. As he moved away from his beginning point, the cyclist was drinking lots of water. But when he needed to refill, the water was brown and hot, so the cyclist didn’t take any. The lack of water plus the heat formed one giant obstacle that potentialy could have killed him, but through great determination the cyclist got through this troubling time.",2,2,,2,125,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
6580,3,"In “Rough Road Ahead: Do Not Exceed Posted Limit” by Joe Kurmaskie, the terrain has a negative effect on the author. He claims that “I had been hitting my water bottles pretty regularly, and I was traveling through the high deserts of California in June” (Kurmaskie). This shows that he has been drinking his water too fast due to the heat from being in the desert at summertime. After travelling from a long time with no water he lets out a chuckles thinking of how he shouldn’t have taken the old mens advise. He explains that “It was a sad, hopeless laugh, mind you, but atleast I still had the energy to feel sorry for myself.” This is an example of how badly the terrain had effected him. Its gotten to him so much that he applauds himself for having the energy to feel sorry for himself.",2,2,,2,147,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
6191,3,"Theres many features of the setting that affect the cyclest. His dehidration started with the sun beeting down on him and the thirst for water. He was mainly affected when he was out of water and road by an abbanond welchs grape juice factory. “A sand blasted picture of a young boy pouring a refreshing glass of juice into his mouth could still be seen. I hung my head.” Then when he had almost nothing left he spoted a bait shop.” Somehow I climed away from the abandoned factory of juices and dreams, slowly gaining elevation while losing hope.” Then, as easily as rounding a bend my troubles, thirst, and fear were all behind me.” @CAPS1 is when he saw “Gary and @CAPS2 Fish camp – If you want bait far the big ones were your best bet thus realcaving his troubles.",2,2,,2,142,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
6970,3,"The cyclist was trying to make it to Yosemite National Park. The cyclist was in Lodi, California when he decided to ask for directions from old codgers so that he could take a short cut. He followed their directions and little did he know that he should have stuck to his original directions. The cyclist was traveling through the high deserts of California in June. The cyclist became very hot and thirsty from traveling in the desert. It says in the text “when I tried a drop or two, it had the flavor of battery acid” This shows that he had no water left to kept him dehydrated throughout his travel. Also in the text it says “with what I believed was my last burst of energy, I maneuvered down the hill” this shows that he had no energy left.",2,2,,2,140,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
6693,3,"The features of the setting in “Rough Road Ahead: Do Not Exceed Posted Speed Limit” affects the cyclist in many ways. First the setting does not look like what the cyclist has been told it lacks like. The cyclist had stopped to get directions from a group of older men who’s directions were out of date. Second the conditions of the road affects the cyclist. In the essay the cyclist explains that, ”Flat road was replaced by short, rolling hills.” A final feature of the setting that affected the cyclist was the temperature. The hot sun beamed down on the cyclist. As you can see, the features of the setting in ""Rough Road Ahead: Do Not Exceed Posted Speed Limit"" affects the cyclist in many ways. ",2,2,,2,126,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
6197,3,"In the story, “Rough Road Ahead: Do Not Exceed Posted Speed Limit” by Joe Kurmaskie the setting affects the cyclist. One setting that affected him was the first setting. I this setting he used up his water and it was hot. this affected the cyclist because he was starting to feel dehydrated and thought he was going to die. The text shoud this when it said “I could drop from heat stroke”, later when the cyclist came to an abandoned juice factory he thought about how thirsty he was. This affected him because usually when you think about thirst you get thirsty er. This also made him dis apointed. The finale setting affected him because he had finally got water and wasn’t thirsty. That is how the setting affected the cyclist.",2,2,,2,131,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
6732,3,"The environment affected the cyclist violently in the story “do not exceed posted speed limit” It seems that all of the harsh conditions of cycling in California all worn down this kid who took some faulty directions from older people at one stop. The heat and lack of water supply made the boy dehydrated. It says in the essay “The water bottles contained only a few tantalizing sips. Wide rings of dried sweat circled my shirt, and the growing realization that I could drop from heat stroke on a georgus day in June simply because I listend to some gentlemen.” this explains on how simply exhausted he had become due to the miles of cycling, and the beating down sun and total lack of water due to absence of all towns. He came to the point of almost dying from heat exhausgen because of the faulty directions of the old people. Next time, he better make sure to keep extra water and stick to the map for directions.",2,2,,2,168,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
7057,3,"The setting of the story affected the cyclist because it kept him going because he was all alone and had no help. First, just the fact that he was by himself kept his determination high. If he would have had a partner they could have stopped and took a break or shared the water. Next, the fact that there were no buildings, houses or anything in sight affected him.  He got a bolt of strength just from seeing a building ahead. If there had been building he could have stopped and asked for more water and rested. The fact that he was in a desert in California in the middle of June really affected him. He had no determination there because there was nothing he could do to better the situation in his cause. He even at one point felt that he might die. In conclusion the setting really affected the cyclist because it determined his endurance and will power.",2,2,,2,160,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
7352,3,"The features of the setting affect the cyclist in many different ways. To start with, the terrain of the road turned from flat bumpy which caused the cyclist to have an easy trip. In the story it said, ""Rough Road ahead do not exceed posted speed limit."" Since the cyclist had to use a lot more energy on the roads and his water supply was limited, he became very thirsty when he finally say an old town ahead, he stopped and it looked like it was a bandoned he began to pump water out of the water pump and no matter how long it pumped for it looked like battery acid. The quote  from the story said, ""when I tried a drop or two, it hard the flavor of battery acid,” that is some features of the setting that affected the cyclist throughout his journey.",2,2,,2,145,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
6366,3,"The features of the setting in “Rough Road Ahead: Do Not Exceed Posted Speed Limit” affect the cyclist greatly. In the cyclists opinion things began pretty well. He had a positive attitude as it states “with strong legs and a smile on my face.” As the man moves on he comes to a fort of sorts. To him, the sight was troubling. Though troubling, he still had the confidence that he could continue. Next he noticed the changes in the terrain. He explained “Flat road was replaced by short, rolling hills.” This means that he would have to peddle harder and with greater force in order to get over the hills. The weather was not and the cyclist was running out of water. The possibility of heatstroke came to mind. “There was no one in sight, not a building, car or structure of any kind”, as told by the man. His mind entered a state of sad, and hopeless thoughts, but he persevered and cycled on. At this point he was very thirsty and felt his death was near. He said “I was going to die and the birds would pick me clean” As he kept going he spotted an old guy in sight. He regained hope and moved ahead. The features of this story affected the cyclist physically and mentally. Physically he was tired and worn out. A like this horrible state, mentally he was becoming negative and pessamistic about his travel. The setting's features interfered with the cyclist's physical and mental state.",3,3,,3,254,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
7248,3,"The features affect the cyclist.The setting affects the cyclist because it’s real hot. So he takes a couple tips on some short cuts by some old men. Then come to find out these tips weren’t really short cuts. So now he’s riding and angry that he took their tips. Also he’s running out of water and becoming dehydrated. He sees an abonded place with water, but in order to get it you need to pump it. So he starts pumping and sees black gunk. He pumps for about @NUM1 to cool the water, but it doesn’t cool off. Come to find out the water tastes like battery acid. So he starts riding again. but encounters a snake. Luckily he gets away, but he feels that he’s about to die and regrets listening to men who haven’t got off their porch since @PERSON1 was president. What makes him more angry is that they seemed so sure. As as he's riding he sees a juice factory and goes there. Now it’s a fishing store and drinks lots and lots of water. He also says he’s never listening to old men and he’ll always use the map.",3,2,,3,194,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
6672,3,"Varias faetures of the setting affect the journey and mooble if the cyclist in the text. The first feature of the setting that affect the cyclist is the desert. He is “traveling through the high deserts of California in June” , and this is making him really thirsty. “[He] had been hitting [his] water bottles pretty regularly “because of this. He later runs out of water, and becomes hopeless. He becomes hopelee because there is no building or establishments anywere in sight. Therefore no water and there isn’t a place to get any water. Another feature of the setting that affects him is the people that gave him directions. They told him abait a shoutcut, and he listened. This through everything off, and he was left with despair. Another feature is the Gary and Wilber’s fish camp.This lead him to sicocss of finding water. This affected his mood because he had hope again. In conlusio, many of the features of the setting affected his mood in many ways.",2,3,,3,168,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
7309,3,"How the setting changes the mood of the cyclist is that what he sees pretty much discribes how he feels. Like he starts off with strong less and a smile on his face. Then he comes to the first town which was a ghost town, that didn't really dampen his spirits because when he sees it he laughs. Also when the setting changes so does his confidence in the old men's direction giving. Like at the first town he still has confidence in what they told him. Then he notices that it starting to get hotter but that doesn’t change his mood much. @NUM1 miles later comes top a fork in road with rusty water pumps and a ran down car all that makes him less confidence in water level. Then he realizes the next town is a long way away so he losse more confidence and gets more worried about water. Then the flat road is replaced with rough road so his mood goes down more. Then at last he goes to a fishing store and so he gets water and his spirits go way up. Here is how the setting affected his mood.",2,3,,3,195,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
7082,3,"The cyclist is riding through the high deserts in California. In this environment everything looks the same for miles. The cyclist is dehydrated and is getting worse because he has no protection from the sun. It is hard for the cyclist to keep in good spirits because he is not even coming across any towns or sources of water. The cyclist says “About forty miles into the pedal, I arrived at the first ‘town.’ This place might have been a thriving little spot at one time- say before the last world war- but on that morning it fit the traditional definition of a ghost town.” This made the cyclist doubt the old timers directions. In the wide open desert, the cyclist was only coming across something after at least twenty miles. The heat, lack of water, and lack of civilization made the cyclist think he was “going to die and the birds would pick [him] clean. When the cyclist spots the abandoned Welch’s factory, the cyclist says they used what seemed to be their last bit of energy. The conditions affected the cyclist",3,2,,3,183,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
7405,3,"The features of the setting affect the cyclist a lot. First is the emptiness, the feeling that he is all alone. Nor a car, person  or building in sight. The fact that if something were to happen then there would be no way of telling anyone. That it would be along while before  anyone would be able to  find him. Nor that  might ecase some, But I think dalved him even more. It gave him that extra boost of energy that seems  to have come out of nowhere. Then there is the type of animal. The desert environment is very, unforgiving. The sun beats down like your only person on the plannet. The lack of water the food that it hasn’t rained in decades. The never ending, @CAPS1 road. The ups and downs and all the animals that await him. The fact that if he stops at all, ever, then a snake could easily bite him and that would be the end of it. These extreme conditions and the harsh environment that is explained in the text has alot to do with the cyclist and affects him a great deal.  ",2,3,,3,190,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
6145,3,"The features of the setting affect the cyclist with his train of thought. On page @NUM1 it says, “I had been hitting my water bottles pretty regularly, and I was traveling through the high deserts of California in June.” This gives a sence of heat and foreshadows maybe the lack of water he’ll have later on. As he passes a snake, “trying to keep my balance in my dehydrated state.” So the cyclist is most likely begin to feel dizzy and begins to loose hope. On page @NUM2 he says, “…I could drop from heatstroke…” meaning he’s starting to think of the worse possible things that could happen. Which effects him because he’s beginning to loose hope and  thinks he’s not going to make it. On page @NUM3, he says, “I was going to die and the birds would pick me clean…” By this point the conditions he was having were rough and making him worry. This is how the features of the setting affected the cyclist throughout the story.",2,3,,3,170,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
6165,3,"In “Rough Road Ahead: Do Not Exceed Posted Speed Limit"" by Joe Kurmaskie, he describes his trying biking trip through California. In the essay, he describes the weather with “I was traveling through the high deserts of California in June.” While this @MONTH1 not directly characterice the weather, the reader can confin a clear image of the sweltering heat of a desert in the summer. When the author comes across the “ghost town” followed by the dilapidated shack, and finally the sign that read “Rough Road Ahead,” his hope of finding Yosemite Park was gone. The hopelessness of the situation made the author want to give up, thinking that he was going to die out in the desert from dehydration and exhaustion. This can be related to anyone that has been lost in unfavorable conditions, and the feeling of helplessness and fear that goes along with it. It feels like everything is against you, with nothing working in your favor, and this is what the author experiences in his description of his trip in “Rough Road Ahead: Do Not Exceed Posted Speed Limit.”",3,3,,3,183,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
6157,3,"The settings have a huge affect on the cyclist. When he first comes to the ‘@CAPS1 town” he isn’t really warried he is kind of laughing and thinks his funny by saying.” This place might have been a thriving little spot at one time  - say, before the last world war.” Then after he says that it ways he chuckled. When he gets the dark in the road with the risky pipe of water he begins to switch into conservation made and begins to get is scared. He says.” I would comer  water- a test at my inner spirit “ This showing that he was scared. After he sees the abanoned Grape juice factory he says something like birds are going to pick him clean and leave behind same expensive biking gear. This definatly shows that he is giving up. Another thing that would back this up is when he talks about writing in his diary about the old men who gives him these direction. When he finally reaches the balt shop he is releved and goes to the bathrom and drinks water. He  also says that he will buy bait even though he doesn’t have a rod. These examples show the many ways the setting affected the cyclist.",3,2,,3,209,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
6061,3,"The features of the setting in Yosemite give the cyclist something in look forward to, but the feature of the sorting that he is in enduse in get there causes him despaire. As soon as the cyclist passes a ghost town and notices swettering hed of the sun during early endeavers of the trip he checks himself up as he says,""I brely noticed it [the sun], the cool pines and rushing hills of Yosemite had my name written all over them. Although the cyclist began to feel the toll that the trip and the sun was going to take on him, he erased the morning with the hope and bealy of arriving at Yosemite. The more the cyclist noticedthe sun the more he drank untill his water supply seemed low, striping as an old rusty water pump he had hope of being replenished but the taste of bitter battery acid caused the cyclist to stop drinking. The rolling hills, Sun and tumbleweds did nothing to quech the cyclist thirst or at least divert his assertion. If the cyclists was to see a sign that said Yosemite @NUM1 miles away his spirits would have risen, instead he saw a sign that said, ”Rough Road Ahead” which did nothing to help him. If the terrain was more poporsed, easier to travel on and in plenty supply of water, the tune of this passive would be more hoped instead in such despair, the features of the setting caused the cyclist grief instead of hope.",3,3,,3,251,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
6680,3,"The features of the setting in the story “DO Not Exceed Posted Speed Limit”, affect the cyclist in the story, in many ways. The first of which would definetly be the lack of water the cyclist had, and the fact that there wasn’t anywhere around for miles. From the text it read “There was no one in sight, not a building, car, or structure of any kind.” This evidence from the text proves to the reader that the cyclist was getting worried. Another part of the setting would be the obvious element of temperature. The cyclist is our in the hot, relentless desert. “Wide rings of dried sweat circled my shirt, and the growing realization that I could drop from heatstroke on a gorgeous day in June.” The author here, by using the elements of nature, is trying to make the reader concerned/scared for the main character. The final key had to travel and the road conditions. Although the desert is flat, he began to notice some hills in the road, and such a long distance, including the heat, could be deadly. The setting’s elements, greatly effect the cyclist in this story.",2,3,,3,192,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
